datetime,ALLSKY_SFC_SW_DWN,T2M,WS2M,RH2M,PRECTOTCORR
2019-01-01 00:00:00,0.0,9.34,1.31,52.46,0.0
2019-01-01 01:00:00,0.0,8.43,1.32,55.2,0.0
2019-01-01 02:00:00,0.0,7.36,1.32,59.21,0.0
2019-01-01 03:00:00,0.0,6.56,1.3,62.21,0.0
2019-01-01 04:00:00,0.0,5.98,1.29,64.41,0.0
2019-01-01 05:00:00,0.0,5.55,1.26,66.04,0.0
2019-01-01 06:00:00,0.05,5.48,1.21,66.24,0.0
2019-01-01 07:00:00,0.56,8.41,1.26,59.18,0.0
2019-01-01 08:00:00,1.24,10.97,1.97,48.02,0.0
2019-01-01 09:00:00,1.83,13.48,1.41,43.53,0.0
2019-01-01 10:00:00,2.22,17.19,1.39,34.44,0.0
2019-01-01 11:00:00,2.02,20.36,1.41,25.52,0.0
2019-01-01 12:00:00,1.93,21.41,1.29,23.71,0.0
2019-01-01 13:00:00,1.62,21.58,1.21,23.7,0.0
2019-01-01 14:00:00,1.12,20.99,1.02,26.44,0.0
2019-01-01 15:00:00,0.57,19.45,0.56,35.98,0.0
2019-01-01 16:00:00,0.09,18.33,0.5,31.05,0.0
2019-01-01 17:00:00,0.0,17.54,0.3,31.21,0.0
2019-01-01 18:00:00,0.0,16.95,0.12,31.99,0.0
2019-01-01 19:00:00,0.0,16.18,0.35,33.42,0.0
2019-01-01 20:00:00,0.0,15.3,0.52,34.98,0.0
2019-01-01 21:00:00,0.0,14.52,0.59,36.58,0.0
2019-01-01 22:00:00,0.0,13.84,0.7,37.92,0.0
2019-01-01 23:00:00,0.0,13.08,0.79,39.53,0.0
2019-01-02 00:00:00,0.0,11.76,0.85,43.46,0.0
2019-01-02 01:00:00,0.0,10.99,0.97,45.61,0.0
2019-01-02 02:00:00,0.0,10.4,1.03,47.17,0.0
2019-01-02 03:00:00,0.0,9.56,1.08,49.62,0.0
2019-01-02 04:00:00,0.0,8.65,1.14,53.06,0.0
2019-01-02 05:00:00,0.0,7.75,1.18,56.74,0.0
2019-01-02 06:00:00,0.04,7.5,1.11,58.39,0.0
2019-01-02 07:00:00,0.39,9.11,0.78,59.63,0.0
2019-01-02 08:00:00,0.87,11.32,1.37,47.51,0.0
2019-01-02 09:00:00,1.35,13.3,0.82,43.73,0.0
2019-01-02 10:00:00,1.82,16.65,0.73,36.24,0.0
2019-01-02 11:00:00,1.79,19.9,0.6,28.9,0.0
2019-01-02 12:00:00,1.76,20.98,0.51,27.07,0.0
2019-01-02 13:00:00,1.4,21.26,0.43,26.59,0.0
2019-01-02 14:00:00,0.99,20.75,0.48,28.68,0.0
2019-01-02 15:00:00,0.52,19.27,0.48,38.19,0.0
2019-01-02 16:00:00,0.09,17.19,0.69,37.88,0.0
2019-01-02 17:00:00,0.0,15.76,0.82,39.53,0.0
2019-01-02 18:00:00,0.0,14.94,0.92,41.21,0.0
2019-01-02 19:00:00,0.0,14.46,0.98,41.73,0.0
2019-01-02 20:00:00,0.0,13.57,0.92,43.9,0.0
2019-01-02 21:00:00,0.0,13.14,0.87,44.5,0.0
2019-01-02 22:00:00,0.0,12.89,0.79,44.47,0.0
2019-01-02 23:00:00,0.0,13.13,0.68,42.82,0.0
2019-01-03 00:00:00,0.0,13.04,0.47,42.65,0.0
2019-01-03 01:00:00,0.0,12.49,0.43,44.33,0.0
2019-01-03 02:00:00,0.0,10.82,0.84,50.37,0.0
2019-01-03 03:00:00,0.0,9.07,1.21,57.9,0.0
2019-01-03 04:00:00,0.0,7.5,1.28,65.68,0.0
2019-01-03 05:00:00,0.0,6.53,1.27,71.23,0.0
2019-01-03 06:00:00,0.04,6.22,1.34,74.18,0.0
2019-01-03 07:00:00,0.41,9.05,2.13,64.27,0.0
2019-01-03 08:00:00,0.97,11.49,2.71,56.17,0.0
2019-01-03 09:00:00,1.51,14.31,2.16,49.87,0.0
2019-01-03 10:00:00,1.87,18.1,2.6,40.06,0.0
2019-01-03 11:00:00,1.78,20.72,2.89,33.28,0.0
2019-01-03 12:00:00,1.63,21.9,2.98,30.8,0.0
2019-01-03 13:00:00,1.41,22.28,2.97,30.13,0.0
2019-01-03 14:00:00,0.96,21.86,2.62,32.06,0.0
2019-01-03 15:00:00,0.49,19.18,1.18,46.85,0.0
2019-01-03 16:00:00,0.09,15.65,1.26,51.81,0.0
2019-01-03 17:00:00,0.0,13.97,1.36,52.84,0.0
2019-01-03 18:00:00,0.0,13.16,1.36,53.92,0.0
2019-01-03 19:00:00,0.0,12.54,1.35,54.5,0.0
2019-01-03 20:00:00,0.0,11.91,1.34,55.19,0.0
2019-01-03 21:00:00,0.0,11.21,1.33,56.58,0.0
